neg_balance	min_balance	default
1.0	-14698.0	0.0
1.0	-14698.0	0.0
40.0	-29104.7	1.0
7.0	-19547.300000000003	0.0
5.0	-6111.2	1.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
10.0	-19242.0	1.0
1.0	-2864.3	0.0
1.0	-21056.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-331.5	0.0
1.0	-331.5	0.0
9.0	-19661.1	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-10878.3	0.0
1.0	-4233.299999999999	0.0
6.0	-10783.699999999997	0.0
6.0	-10783.699999999997	0.0
0.0	0.0	0.0
1.0	-10637.0	0.0
1.0	-10637.0	0.0
2.0	-12218.400000000001	0.0
2.0	-12218.400000000001	0.0
1.0	-823.2000000000007	0.0
41.0	-52143.3	1.0
0.0	0.0	0.0
0.0	0.0	0.0
4.0	-10744.0	0.0
17.0	-8318.0	1.0
2.0	-4561.0	0.0
8.0	-7811.0	1.0
10.0	-63915.0	1.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-5625.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
5.0	-14873.599999999999	0.0
2.0	-13515.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
13.0	-19514.9	1.0
29.0	-15124.6	1.0
2.0	-3556.7000000000007	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-2720.2	0.0
0.0	0.0	0.0
1.0	-229.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-4238.0999999999985	0.0
2.0	-4238.0999999999985	0.0
1.0	-261.5	0.0
0.0	0.0	0.0
1.0	-22390.4	0.0
0.0	0.0	0.0
9.0	-18703.0	0.0
0.0	0.0	0.0
5.0	-10311.800000000003	0.0
1.0	-3091.9000000000015	0.0
2.0	-2993.4000000000015	0.0
55.0	-28281.2	1.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
20.0	-20481.5	1.0
4.0	-8159.9	0.0
0.0	0.0	0.0
1.0	-1384.5999999999985	0.0
0.0	0.0	0.0
0.0	0.0	0.0
4.0	-7430.700000000001	0.0
0.0	0.0	0.0
0.0	0.0	0.0
4.0	-13790.0	0.0
0.0	0.0	0.0
3.0	-4425.0	0.0
2.0	-13755.099999999999	0.0
2.0	-13755.099999999999	0.0
0.0	0.0	0.0
4.0	-13199.900000000001	0.0
4.0	-45237.5	0.0
33.0	-32864.7	1.0
1.0	-5851.0	0.0
2.0	-11491.0	0.0
40.0	-38236.9	1.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
3.0	-5424.0	0.0
0.0	0.0	0.0
1.0	-6430.699999999997	0.0
3.0	-10575.2	0.0
1.0	-1091.5	0.0
0.0	0.0	0.0
0.0	0.0	0.0
20.0	-12554.800000000003	1.0
1.0	-1573.9000000000015	0.0
1.0	-5942.199999999997	0.0
1.0	-5942.199999999997	0.0
2.0	-393.3000000000002	0.0
0.0	0.0	0.0
0.0	0.0	0.0
2.0	-7409.5	0.0
0.0	0.0	0.0
1.0	-16603.3	0.0
1.0	-4489.9000000000015	0.0
1.0	-4489.9000000000015	0.0
25.0	-20551.2	1.0
0.0	0.0	0.0
6.0	-16771.0	0.0
14.0	-11459.3	0.0
0.0	0.0	0.0
12.0	-23241.5	1.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
18.0	-23103.0	1.0
14.0	-6355.4	0.0
2.0	-23540.0	0.0
0.0	0.0	0.0
1.0	-29362.2	0.0
1.0	-18986.6	0.0
1.0	-18986.6	0.0
0.0	0.0	0.0
0.0	0.0	0.0
0.0	0.0	0.0
1.0	-32571.8	0.0
1.0	-32571.8	0.0
