amount,duration,payments,neg_balance,min_balance,mean_balance,gender,DB_mo,DB_dy,age,label
96396,12,8033,20.0,-12554.800000000003,34233.780049875306,0,7,22,53,1
165960,36,4610,1.0,-1573.9000000000015,35762.63942766296,1,7,22,32,0
127080,60,2118,0.0,0.0,26159.043594010018,1,6,2,64,0
105804,36,2939,0.0,0.0,29682.44086956524,0,4,20,60,0
274740,60,4579,1.0,-11383.699999999997,45677.0957894739,1,9,7,22,0
87840,24,3660,2.0,-2434.7000000000007,25715.900297619035,0,2,16,20,0
87840,24,3660,2.0,-2434.7000000000007,25715.900297619035,1,10,19,15,0
52788,12,4399,0.0,0.0,19338.98053830229,1,2,16,27,0
174744,24,7281,8.0,-15561.0,34427.81453744491,0,8,12,52,1
154416,48,3217,2.0,-11202.199999999997,46142.015498938345,0,5,25,31,0
117024,24,4876,3.0,-12225.099999999999,52869.45965770174,1,10,3,65,0
21924,36,609,1.0,-6811.699999999997,41430.68765432099,1,8,20,40,0
21924,36,609,1.0,-6811.699999999997,41430.68765432099,0,11,1,41,0
79608,24,3317,4.0,-42503.7,50588.55760869564,1,4,28,30,0
464520,60,7742,36.0,-19578.4,27180.33744292242,0,12,2,60,1
95400,36,2650,10.0,-13229.4,55318.950836820055,1,2,10,29,0
93888,36,2608,2.0,-662.2999999999993,27688.943280182266,0,10,20,50,0
47016,12,3918,16.0,-10929.400000000001,41065.72735042734,0,12,31,43,0
259740,60,4329,1.0,-16698.3,29758.95795454543,1,3,16,21,0
38148,12,3179,0.0,0.0,33857.12866556831,0,1,22,35,0
86616,12,7218,1.0,-3645.5999999999985,51524.23202146695,1,9,28,39,0
75624,24,3151,30.0,-14074.0,28731.823399558434,1,12,7,42,1
80952,24,3373,1.0,-14698.0,29921.3962264151,1,2,4,55,0
80952,24,3373,1.0,-14698.0,29921.3962264151,0,10,9,60,0
80952,24,3373,1.0,-14821.8,28937.61719077565,1,2,4,55,0
80952,24,3373,1.0,-14821.8,28937.61719077565,0,10,9,60,0
24516,12,2043,17.0,-14243.8,42837.14812030067,1,10,7,42,0
253200,60,4220,5.0,-10311.800000000003,37650.32525510205,0,3,13,50,0
21072,24,878,0.0,0.0,29796.744916820688,0,8,9,36,0
108144,36,3004,3.0,-14174.900000000001,47467.409856262886,0,5,12,37,0
108144,36,3004,3.0,-14174.900000000001,47467.409856262886,1,4,23,43,0
78936,12,6578,0.0,0.0,27585.679116465857,0,1,22,43,0
149040,48,3105,0.0,0.0,31016.154932735448,0,12,20,32,0
49320,12,4110,14.0,-14634.6,39784.008082706794,0,10,3,55,1
197748,36,5493,1.0,-5404.0999999999985,40171.93990610326,0,5,5,30,0
197748,36,5493,1.0,-5404.0999999999985,40171.93990610326,1,7,8,32,0
300660,60,5011,3.0,-19954.9,40890.059333333294,1,1,7,50,0
182628,36,5073,0.0,0.0,34164.12687651337,1,5,23,41,0
91632,12,7636,2.0,-10970.3,41962.123566878974,0,12,28,38,0
91632,12,7636,2.0,-10970.3,41962.123566878974,1,3,26,39,0
51696,24,2154,2.0,-19690.199999999997,45977.11686746991,0,1,28,32,0
55368,24,2307,16.0,-19470.7,33635.494589552225,0,12,25,61,0
91200,24,3800,4.0,-9654.099999999999,24946.898305084756,0,8,26,45,0
91200,24,3800,4.0,-9654.099999999999,24946.898305084756,1,4,5,42,0
7656,24,319,4.0,-4159.9000000000015,40722.48678160918,0,9,3,38,0
7656,24,319,4.0,-4159.9000000000015,40722.48678160918,1,6,7,41,0
212400,36,5900,1.0,-9752.400000000001,52641.43525345615,0,10,24,34,0
167100,60,2785,2.0,-9657.599999999999,44015.757437070904,0,1,17,30,0
167100,60,2785,2.0,-9657.599999999999,44015.757437070904,1,6,2,27,0
149340,60,2489,0.0,0.0,29509.012676056325,1,2,1,37,0
65184,12,5432,1.0,-4439.9000000000015,58860.36052060741,1,9,29,43,0
215388,36,5983,29.0,-23524.4,28437.654797979787,1,12,17,41,1
89040,60,1484,0.0,0.0,32822.160150375974,0,1,25,30,0
89040,60,1484,0.0,0.0,32822.160150375974,1,11,16,24,0
193968,36,5388,2.0,-2537.800000000003,43853.47266009857,1,12,3,28,0
24312,12,2026,2.0,-3556.7000000000007,31229.352442159397,0,11,19,45,0
272520,60,4542,3.0,-12051.400000000001,41716.99110169487,1,9,2,61,0
272520,60,4542,3.0,-12051.400000000001,41716.99110169487,0,8,19,59,0
80340,12,6695,1.0,-29387.6,43191.6116113744,0,2,6,24,0
80340,12,6695,1.0,-29387.6,43191.6116113744,1,1,5,22,0
97632,12,8136,3.0,-11401.099999999999,46202.35531135519,0,9,7,32,0
196080,48,4085,3.0,-13150.599999999999,51475.32714617175,1,5,27,42,0
76908,12,6409,19.0,-15492.800000000003,35389.84081196585,0,1,19,54,1
63312,48,1319,0.0,0.0,15556.732589285739,0,5,7,44,0
25944,24,1081,0.0,0.0,42601.98647887327,0,5,21,40,0
104808,12,8734,1.0,-331.5,32820.07894736841,1,11,30,61,0
104808,12,8734,1.0,-331.5,32820.07894736841,0,6,28,55,0
208320,48,4340,4.0,-10916.8,32018.476867469893,0,4,14,32,0
208320,48,4340,4.0,-10916.8,32018.476867469893,1,4,20,40,0
151560,24,6315,2.0,-856.5,44111.245714285746,1,5,5,47,0
52128,24,2172,11.0,-18015.3,39337.59751434037,0,7,17,41,0
300204,36,8339,0.0,0.0,28333.089294403882,1,3,13,36,0
77640,12,6470,0.0,0.0,48975.66567164176,1,7,10,33,0
87216,48,1817,61.0,-22671.1,13842.063179074448,1,5,13,36,1
87360,24,3640,4.0,-8083.0999999999985,42442.08050632913,1,7,10,38,0
